Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"The Vanguard Group, Inc.",6.28%,"96,234,527","3,271,973,918","-686,121",-0.71%,MS
"T. Rowe Price Associates, Inc. (I...",4.05%,"62,059,629","2,110,027,386","+21,035,558",+51.28%,MS
BlackRock Fund Advisors,3.68%,"56,458,051","1,919,573,734","-564,762",-0.99%,MS
"JPMorgan Investment Management, I...",1.85%,"28,375,246","964,758,364","-1,870,922",-6.19%,MS
"Invesco Advisers, Inc.",1.24%,"19,034,237","647,164,058","-1,053,341",-5.24%,MS
Geode Capital Management LLC,1.19%,"18,264,111","620,979,774","+65,726",+0.36%,MS
Fidelity Management & Research Co...,1.01%,"15,433,666","524,744,644","+3,678,305",+31.29%,MS
Eagle Capital Management LLC,1.00%,"15,334,469","521,371,946","-164,649",-1.06%,MS
Columbia Management Investment Ad...,0.98%,"15,009,152","510,311,168","+685,288",+4.78%,MS
"The Vanguard Group, Inc.",9.99%,"37,825,381","409,270,622","-393,025",-1.03%,MOS
"SSgA Funds Management, Inc.",5.25%,"19,901,685","215,336,232","-201,753",-1.00%,MOS
"Boston Partners Global Investors,...",4.87%,"18,457,591","199,711,135","-2,109,351",-10.26%,MOS
BlackRock Fund Advisors,4.70%,"17,799,918","192,595,113","+250,623",+1.43%,MOS
Fidelity Management & Research Co...,3.42%,"12,956,648","140,190,931","-1,056,327",-7.54%,MOS
Norges Bank Investment Management,2.77%,"10,493,511","113,539,789","+5,585,500",+113.80%,MOS
Adage Capital Management LP,2.58%,"9,762,481","105,630,044","-2,046,651",-17.33%,MOS
Citadel Advisors LLC,1.92%,"7,278,819","78,756,822","-2,811,439",-27.86%,MOS
"Northern Trust Investments, Inc.(...",1.75%,"6,635,625","71,797,463","+382,722",+6.12%,MOS
Slate Path Capital LP,1.62%,"6,120,000","66,218,400","+1,890,000",+44.68%,MOS
"The Vanguard Group, Inc.",11.27%,"19,228,558","2,555,859,929","+760,505",+4.12%,MSI
BlackRock Fund Advisors,7.10%,"12,102,384","1,608,648,881","-374,083",-3.00%,MSI
"SSgA Funds Management, Inc.",4.56%,"7,779,631","1,034,068,553","+107,899",+1.41%,MSI
"T. Rowe Price Associates, Inc. (I...",3.24%,"5,526,085","734,527,218","-26,816",-0.48%,MSI
Neuberger Berman Investment Advis...,3.13%,"5,332,478","708,792,976","+257,286",+5.07%,MSI
Wellington Management Co. LLP,2.91%,"4,956,069","658,760,691","+60,027",+1.23%,MSI
"Invesco Advisers, Inc.",2.48%,"4,224,886","561,571,847","-447,288",-9.57%,MSI
Lazard Asset Management LLC,1.81%,"3,083,943","409,917,704","+190,990",+6.60%,MSI
Fidelity Management & Research Co...,1.62%,"2,759,335","366,770,808","-181,456",-6.17%,MSI
Geode Capital Management LLC,1.56%,"2,663,902","354,085,854","+179,467",+7.22%,MSI
"The Vanguard Group, Inc.",10.91%,"9,272,643","2,679,422,921","-45,564",-0.49%,MSCI
BlackRock Fund Advisors,5.02%,"4,268,049","1,233,295,439","-85,693",-1.97%,MSCI
"SSgA Funds Management, Inc.",4.54%,"3,856,800","1,114,460,928","-23,120",-0.60%,MSCI
Fidelity Management & Research Co...,4.20%,"3,570,973","1,031,868,358","-154,045",-4.14%,MSCI
Fiera Capital Corp. (Investment M...,4.10%,"3,483,895","1,006,706,299","-104,787",-2.92%,MSCI
"T. Rowe Price Associates, Inc. (I...",3.88%,"3,300,368","953,674,337","-312,461",-8.65%,MSCI
Massachusetts Financial Services ...,2.94%,"2,500,923","722,666,710","+204,958",+8.93%,MSCI
"BAMCO, Inc.",2.58%,"2,196,316","634,647,471","-51,762",-2.30%,MSCI
Polen Capital Management LLC,2.49%,"2,112,980","610,566,701","+42,134",+2.03%,MSCI
American Century Investment Manag...,1.95%,"1,660,052","479,688,626","-82,131",-4.71%,MSCI
"The Vanguard Group, Inc.",10.93%,"56,412,916","841,116,578","+508,623",+0.91%,MYL
Wellington Management Co. LLP,10.54%,"54,413,643","811,307,417","-1,025,778",-1.85%,MYL
BlackRock Fund Advisors,6.07%,"31,321,021","466,996,423","+1,038,895",+3.43%,MYL
"SSgA Funds Management, Inc.",4.53%,"23,385,602","348,679,326","+425,895",+1.85%,MYL
Pzena Investment Management LLC,4.03%,"20,781,717","309,855,400","+1,373,299",+7.08%,MYL
"Paulson & Co., Inc.",2.33%,"12,005,400","179,000,514",0,0.00%,MYL
Geode Capital Management LLC,1.99%,"10,289,282","153,413,195","+499,230",+5.10%,MYL
AQR Capital Management LLC,1.80%,"9,311,212","138,830,171","-7,863,529",-45.79%,MYL
"Invesco Advisers, Inc.",1.71%,"8,804,248","131,271,338","+92,972",+1.07%,MYL
Camber Capital Management LP,1.70%,"8,750,000","130,462,500","+250,000",+2.94%,MYL
Massachusetts Financial Services ...,8.38%,"13,823,720","1,312,562,214","+206,320",+1.52%,NDAQ
"The Vanguard Group, Inc.",7.67%,"12,651,272","1,201,238,276",+701,+0.01%,NDAQ
Capital Research & Management Co....,4.76%,"7,848,052","745,172,537","+615,377",+8.51%,NDAQ
BlackRock Fund Advisors,3.45%,"5,694,702","540,711,955","+24,287",+0.43%,NDAQ
"SSgA Funds Management, Inc.",3.19%,"5,258,710","499,314,515","+103,610",+2.01%,NDAQ
Capital Research & Management Co....,2.94%,"4,851,308","460,631,695","+2,101,507",+76.42%,NDAQ
Capital Research & Management Co....,1.70%,"2,806,061","266,435,492","-139,540",-4.74%,NDAQ
Geode Capital Management LLC,1.19%,"1,965,793","186,652,045","+71,873",+3.79%,NDAQ
Findlay Park Partners LLP,1.14%,"1,875,000","178,031,250",0,0.00%,NDAQ
Invesco Asset Management Ltd.,1.01%,"1,669,722","158,540,104","-22,351",-1.32%,NDAQ
"The Vanguard Group, Inc.",11.20%,"43,225,198","424,903,696","+344,309",+0.80%,NOV
Pzena Investment Management LLC,7.70%,"29,696,759","291,919,141","+2,210,777",+8.04%,NOV
Vulcan Value Partners LLC,6.89%,"26,584,279","261,323,463","-919,379",-3.34%,NOV
First Eagle Investment Management...,6.13%,"23,671,466","232,690,511","-1,347,763",-5.39%,NOV
Dodge & Cox,5.90%,"22,776,867","223,896,603","-82,185",-0.36%,NOV
Hotchkis & Wiley Capital Manageme...,5.44%,"21,010,372","206,531,957","+2,965,103",+16.43%,NOV
BlackRock Fund Advisors,4.93%,"19,020,419","186,970,719","+345,993",+1.85%,NOV
"SSgA Funds Management, Inc.",4.74%,"18,297,393","179,863,373","+409,477",+2.29%,NOV
Harris Associates LP,2.86%,"11,020,680","108,333,284","-1,247,171",-10.17%,NOV
ClearBridge Investments LLC,2.08%,"8,031,831","78,952,899","-1,597,369",-16.59%,NOV
PRIMECAP Management Co.,14.72%,"32,566,638","1,357,703,138","-274,400",-0.84%,NTAP
Capital Research & Management Co....,12.44%,"27,505,863","1,146,719,428","+23,183",+0.08%,NTAP
"The Vanguard Group, Inc.",11.96%,"26,457,045","1,102,994,206","-774,052",-2.84%,NTAP
BlackRock Fund Advisors,5.62%,"12,431,105","518,252,767","-290,655",-2.28%,NTAP
"SSgA Funds Management, Inc.",4.46%,"9,863,048","411,190,471","-375,252",-3.67%,NTAP
Renaissance Technologies LLC,2.47%,"5,464,940","227,833,349","-1,304,232",-19.27%,NTAP
SunAmerica Asset Management LLC,2.30%,"5,091,816","212,277,809","-1,759,297",-25.68%,NTAP
Columbia Management Investment Ad...,2.02%,"4,460,493","185,957,953","+357,078",+8.70%,NTAP
Mellon Investments Corp.,2.00%,"4,417,686","184,173,329","+512,347",+13.12%,NTAP
Geode Capital Management LLC,1.68%,"3,705,211","154,470,247","-580,464",-13.54%,NTAP
Capital Research & Management Co....,8.66%,"38,002,047","14,269,768,649","+2,713,207",+7.69%,NFLX
"The Vanguard Group, Inc.",7.44%,"32,642,262","12,257,169,381","+157,901",+0.49%,NFLX
"T. Rowe Price Associates, Inc. (I...",4.59%,"20,118,871","7,554,636,061","+3,275,690",+19.45%,NFLX
Fidelity Management & Research Co...,4.52%,"19,846,449","7,452,341,600","-1,626,563",-7.57%,NFLX
BlackRock Fund Advisors,4.17%,"18,294,895","6,869,733,073","-161,217",-0.87%,NFLX
"SSgA Funds Management, Inc.",3.79%,"16,610,022","6,237,063,261","+156,993",+0.95%,NFLX
Capital Research & Management Co....,3.30%,"14,480,179","5,437,307,215","+1,682,813",+13.15%,NFLX
Capital Research & Management Co....,2.45%,"10,758,982","4,039,997,741","+2,874,435",+36.46%,NFLX
Baillie Gifford & Co.,1.83%,"8,043,935","3,020,497,593","+348,403",+4.53%,NFLX
Jennison Associates LLC,1.77%,"7,776,329","2,920,011,540","-545,839",-6.56%,NFLX
"The Vanguard Group, Inc.",10.55%,"44,682,343","593,381,515","+730,039",+1.66%,NWL
Icahn Associates Holding LLC,10.32%,"43,704,616","580,397,300","+2,585,201",+6.29%,NWL
BlackRock Fund Advisors,7.15%,"30,264,806","401,916,624","-153,952",-0.51%,NWL
Pzena Investment Management LLC,5.98%,"25,315,254","336,186,573","+144,423",+0.57%,NWL
"SSgA Funds Management, Inc.",4.44%,"18,819,137","249,918,139","-159,274",-0.84%,NWL
Franklin Mutual Advisers LLC,2.80%,"11,846,312","157,319,023","-1,436,984",-10.82%,NWL
BlackRock Advisors LLC,2.15%,"9,093,250","120,758,360","-2,481,987",-21.44%,NWL
The Caisse de d�p�t et placement ...,1.98%,"8,396,364","111,503,714","+480,123",+6.07%,NWL
"JPMorgan Investment Management, I...",1.91%,"8,071,161","107,185,018","+1,566,104",+24.08%,NWL
Mellon Investments Corp.,1.84%,"7,785,485","103,391,241","-499,909",-6.03%,NWL
"The Vanguard Group, Inc.",11.21%,"90,537,531","4,099,539,404","+909,172",+1.01%,NEM
BlackRock Fund Advisors,7.23%,"58,366,576","2,642,838,561","-1,354,080",-2.27%,NEM
Van Eck Associates Corp.,4.86%,"39,275,253","1,778,383,456","+1,764,699",+4.70%,NEM
"SSgA Funds Management, Inc.",4.73%,"38,193,895","1,729,419,566","+107,927",+0.28%,NEM
BlackRock Investment Management (...,4.05%,"32,705,030","1,480,883,758","+143,996",+0.44%,NEM
First Eagle Investment Management...,2.56%,"20,703,872","937,471,324","-112,625",-0.54%,NEM
Flossbach von Storch AG,1.59%,"12,805,700","579,842,096","-2,720,470",-17.52%,NEM
Geode Capital Management LLC,1.58%,"12,746,777","577,174,063","-405,972",-3.09%,NEM
Fidelity Management & Research Co...,1.54%,"12,435,410","563,075,365","+3,156,102",+34.01%,NEM
"Northern Trust Investments, Inc.(...",1.48%,"11,983,377","542,607,311","-267,749",-2.19%,NEM
"T. Rowe Price Associates, Inc. (I...",15.42%,"59,936,883","537,933,525","+3,675,466",+6.53%,NWSA
"The Vanguard Group, Inc.",13.93%,"54,147,168","485,970,833","+487,388",+0.91%,NWSA
Independent Franchise Partners LL...,7.64%,"29,694,437","266,507,572","-1,772,657",-5.63%,NWSA
BlackRock Fund Advisors,5.13%,"19,925,386","178,830,339","+133,516",+0.67%,NWSA
"SSgA Funds Management, Inc.",4.83%,"18,772,249","168,480,935","+1,036,705",+5.85%,NWSA
Yacktman Asset Management LP,4.47%,"17,384,012","156,021,508","+6,247,004",+56.09%,NWSA
Hotchkis & Wiley Capital Manageme...,4.39%,"17,062,054","153,131,935","+2,520,054",+17.33%,NWSA
Dodge & Cox,3.53%,"13,714,762","123,089,989","-193,862",-1.39%,NWSA
Burgundy Asset Management Ltd.,2.58%,"10,023,032","89,956,712","-222,117",-2.17%,NWSA
Dimensional Fund Advisors LP,2.19%,"8,531,901","76,573,811","+30,458",+0.36%,NWSA
Independent Franchise Partners LL...,4.79%,"9,567,582","86,012,562","+68,322",+0.72%,NWS
BlackRock Fund Advisors,2.84%,"5,671,909","50,990,462","-162,675",-2.79%,NWS
"SSgA Funds Management, Inc.",2.24%,"4,476,999","40,248,221","+119,048",+2.73%,NWS
"The Vanguard Group, Inc.",2.00%,"3,987,290","35,845,737","-419,859",-9.53%,NWS
Dimensional Fund Advisors LP,1.77%,"3,526,513","31,703,352","+160,587",+4.77%,NWS
Sterling Capital Management LLC,1.13%,"2,245,166","20,184,042","-714,068",-24.13%,NWS
Geode Capital Management LLC,1.01%,"2,021,145","18,170,094","+67,347",+3.45%,NWS
Investors Mutual Ltd.,0.99%,"1,971,233","17,721,385","-63,255",-3.11%,NWS
Renaissance Technologies LLC,0.86%,"1,710,053","15,373,376","+314,153",+22.51%,NWS
"Northern Trust Investments, Inc.(...",0.59%,"1,171,395","10,530,841","+20,377",+1.77%,NWS
"The Vanguard Group, Inc.",9.07%,"44,340,288","10,669,160,099","+563,546",+1.29%,NEE
BlackRock Fund Advisors,5.55%,"27,112,019","6,523,694,012","+1,734,368",+6.83%,NEE
"SSgA Funds Management, Inc.",5.46%,"26,719,430","6,429,229,247","+1,194,658",+4.68%,NEE
"T. Rowe Price Associates, Inc. (I...",4.94%,"24,148,849","5,810,696,046","-2,342,423",-8.84%,NEE
"JPMorgan Investment Management, I...",1.72%,"8,387,289","2,018,149,479","+512,841",+6.51%,NEE
Wellington Management Co. LLP,1.64%,"8,022,017","1,930,257,731","-1,592,744",-16.57%,NEE
Geode Capital Management LLC,1.47%,"7,189,062","1,729,832,098","+340,415",+4.97%,NEE
Norges Bank Investment Management,1.40%,"6,819,754","1,640,969,207","+77,069",+1.14%,NEE
"Northern Trust Investments, Inc.(...",1.36%,"6,643,340","1,598,520,471","-134,361",-1.98%,NEE
Morgan Stanley Smith Barney LLC (...,1.34%,"6,531,271","1,571,554,428","+151,266",+2.37%,NEE
"The Vanguard Group, Inc.",12.91%,"45,994,833","576,775,206","+1,155,427",+2.58%,NLSN
Fidelity Management & Research Co...,9.14%,"32,570,750","408,437,205","+9,524,854",+41.33%,NLSN
"T. Rowe Price Associates, Inc. (I...",5.41%,"19,279,418","241,763,902","+1,398,522",+7.82%,NLSN
BlackRock Fund Advisors,4.93%,"17,572,869","220,363,777","+1,118,763",+6.80%,NLSN
The WindAcre Partnership LLC,4.74%,"16,888,700","211,784,298","+1,609,425",+10.53%,NLSN
Elliott Management Corp.,4.59%,"16,370,100","205,281,054","+2,370,100",+16.93%,NLSN
"SSgA Funds Management, Inc.",4.56%,"16,234,559","203,581,370","+374,943",+2.36%,NLSN
Clarkston Capital Partners LLC,3.56%,"12,691,322","159,149,178","+3,792,233",+42.61%,NLSN
Black Creek Investment Management...,3.26%,"11,622,216","145,742,589","+602,290",+5.47%,NLSN
Credit Suisse Securities (USA) LL...,2.70%,"9,613,054","120,547,697","+3,395,898",+54.62%,NLSN
"The Vanguard Group, Inc.",8.40%,"104,370,306","8,635,599,118","+196,439",+0.19%,NKE
BlackRock Fund Advisors,4.85%,"60,257,782","4,985,728,883","+1,453,729",+2.47%,NKE
"SSgA Funds Management, Inc.",4.75%,"58,981,327","4,880,114,996","-402,308",-0.68%,NKE
"T. Rowe Price Associates, Inc. (I...",2.30%,"28,533,175","2,360,834,900","+554,290",+1.98%,NKE
Fidelity Management & Research Co...,2.26%,"28,019,999","2,318,374,717","+1,202,047",+4.48%,NKE
Jennison Associates LLC,1.86%,"23,134,257","1,914,128,424","-80,929",-0.35%,NKE
Wellington Management Co. LLP,1.78%,"22,101,864","1,828,708,227","-5,874,242",-21.00%,NKE
Geode Capital Management LLC,1.68%,"20,884,664","1,727,997,099","+775,291",+3.86%,NKE
"Northern Trust Investments, Inc.(...",1.66%,"20,581,519","1,702,914,882","-118,800",-0.57%,NKE
Capital Research & Management Co....,1.63%,"20,196,138","1,671,028,458","-12,273,884",-37.80%,NKE
"T. Rowe Price Associates, Inc. (I...",13.85%,"52,937,405","1,321,847,003","+1,997,958",+3.92%,NI
"The Vanguard Group, Inc.",11.44%,"43,732,886","1,092,010,163","+256,226",+0.59%,NI
BlackRock Fund Advisors,6.44%,"24,625,771","614,905,502","+668,808",+2.79%,NI
"SSgA Funds Management, Inc.",5.26%,"20,094,350","501,755,920","+960,047",+5.02%,NI
RREEF America LLC,3.11%,"11,895,632","297,033,931","+711,600",+6.36%,NI
Newport Trust Co.,2.23%,"8,520,520","212,757,384","+8,520,520",--,NI
Zimmer Partners LP,1.75%,"6,678,100","166,752,157","-8,047,814",-54.65%,NI
Invesco Capital Management LLC,1.74%,"6,639,683","165,792,885","+775,306",+13.22%,NI
Geode Capital Management LLC,1.50%,"5,744,548","143,441,364","+218,879",+3.96%,NI
Maple-Brown Abbott Ltd.,1.50%,"5,739,828","143,323,505","+950,440",+19.84%,NI
Capital Research & Management Co....,11.46%,"55,603,752","335,846,662","+514,767",+0.93%,NBL
"The Vanguard Group, Inc.",11.04%,"53,528,780","323,313,831","+588,954",+1.11%,NBL
Capital Research & Management Co....,9.07%,"44,012,968","265,838,327","+3,133,993",+7.67%,NBL
"SSgA Funds Management, Inc.",5.12%,"24,819,965","149,912,589","+537,272",+2.21%,NBL
BlackRock Fund Advisors,4.76%,"23,106,479","139,563,133","+165,535",+0.72%,NBL
"Boston Partners Global Investors,...",4.67%,"22,638,990","136,739,500","+1,083,382",+5.03%,NBL
Fidelity Management & Research Co...,4.02%,"19,502,521","117,795,227","-2,584,681",-11.70%,NBL
Wellington Management Co. LLP,3.83%,"18,555,796","112,077,008","+1,392,866",+8.12%,NBL
"Invesco Advisers, Inc.",3.76%,"18,211,684","109,998,571","+219,354",+1.22%,NBL
Ares Management LLC,2.05%,"9,956,919","60,139,791",0,0.00%,NBL
"The Vanguard Group, Inc.",7.57%,"11,836,181","181,567,017","-49,270",-0.41%,JWN
"SSgA Funds Management, Inc.",4.21%,"6,580,448","100,944,072","-845,755",-11.39%,JWN
Mellon Investments Corp.,4.07%,"6,363,717","97,619,419","+83,278",+1.33%,JWN
BlackRock Fund Advisors,3.74%,"5,845,072","89,663,404","-581,938",-9.05%,JWN
"JPMorgan Investment Management, I...",3.14%,"4,907,963","75,288,152","-1,084,925",-18.10%,JWN
"T. Rowe Price Associates, Inc. (I...",1.40%,"2,186,943","33,547,706","-227,229",-9.41%,JWN
"Disciplined Growth Investors, Inc...",1.22%,"1,912,141","29,332,243","+56,537",+3.05%,JWN
Geode Capital Management LLC,1.10%,"1,725,036","26,462,052","+68,454",+4.13%,JWN
Schroder Investment Management No...,1.06%,"1,655,670","25,397,978","-33,400",-1.98%,JWN
Charles Schwab Investment Managem...,0.92%,"1,441,419","22,111,367","+52,807",+3.80%,JWN
"The Vanguard Group, Inc.",6.95%,"19,267,837","2,813,104,202","-136,617",-0.70%,NSC
"SSgA Funds Management, Inc.",4.22%,"11,721,095","1,711,279,870","+692,117",+6.28%,NSC
BlackRock Fund Advisors,4.02%,"11,144,882","1,627,152,772","-820,848",-6.86%,NSC
"JPMorgan Investment Management, I...",3.75%,"10,391,275","1,517,126,150","+436,737",+4.39%,NSC
Lazard Asset Management LLC,3.14%,"8,722,946","1,273,550,116","+823,858",+10.43%,NSC
Capital Research & Management Co....,2.30%,"6,375,666","930,847,236","+236,699",+3.86%,NSC
Capital Research & Management Co....,1.85%,"5,129,863","748,959,998","+2,000",+0.04%,NSC
"Northern Trust Investments, Inc.(...",1.60%,"4,435,864","647,636,144","-32,476",-0.73%,NSC
"T. Rowe Price Associates, Inc. (I...",1.48%,"4,095,704","597,972,784","+3,497,512",+584.68%,NSC
Geode Capital Management LLC,1.30%,"3,592,122","524,449,812",+94,+0.00%,NSC
"The Vanguard Group, Inc.",7.29%,"15,252,603","1,150,961,422","-165,364",-1.07%,NTRS
Wellington Management Co. LLP,5.55%,"11,620,723","876,899,758","+55,144",+0.48%,NTRS
BlackRock Fund Advisors,4.85%,"10,153,947","766,216,841","+31,691",+0.31%,NTRS
"SSgA Funds Management, Inc.",4.42%,"9,251,929","698,150,562","-58,896",-0.63%,NTRS
Fidelity Management & Research Co...,3.25%,"6,796,538","512,866,757","-806,364",-10.61%,NTRS
"Barrow, Hanley, Mewhinney & Strau...",3.18%,"6,654,898","502,178,603","-4,528,203",-40.49%,NTRS
"Northern Trust Investments, Inc.(...",3.07%,"6,418,522","484,341,670","-47,721",-0.74%,NTRS
"T. Rowe Price Associates, Inc. (I...",2.83%,"5,930,457","447,512,285","-394,638",-6.24%,NTRS
"JPMorgan Investment Management, I...",2.68%,"5,612,224","423,498,423","-41,933",-0.74%,NTRS
State Farm Investment Management ...,2.32%,"4,861,750","366,867,655","-793,800",-14.04%,NTRS
"SSgA Funds Management, Inc.",10.11%,"16,947,262","5,127,394,118","+40,627",+0.24%,NOC
Capital Research & Management Co....,10.02%,"16,795,547","5,081,492,745","+591,977",+3.65%,NOC
"The Vanguard Group, Inc.",7.76%,"13,015,840","3,937,942,392","+71,876",+0.56%,NOC
BlackRock Fund Advisors,4.72%,"7,913,078","2,394,101,749","+484,001",+6.51%,NOC
Capital Research & Management Co....,4.10%,"6,873,765","2,079,657,601","+99,714",+1.47%,NOC
Massachusetts Financial Services ...,3.10%,"5,189,516","1,570,088,066","-117,555",-2.22%,NOC
Fidelity Management & Research Co...,2.75%,"4,609,080","1,394,477,154","-410,369",-8.18%,NOC
"T. Rowe Price Associates, Inc. (I...",1.92%,"3,222,616","975,002,471","-6,708,542",-67.55%,NOC
Wellington Management Co. LLP,1.82%,"3,042,721","920,575,239","-88,974",-2.84%,NOC
Macquarie Investment Management B...,1.48%,"2,483,585","751,408,642","+267,912",+12.09%,NOC
Capital Research & Management Co....,10.89%,"65,370,857","1,223,088,734","+18,003,891",+38.01%,NLOK
"The Vanguard Group, Inc.",10.54%,"63,305,248","1,184,441,190","+993,893",+1.60%,NLOK
Franklin Mutual Advisers LLC,4.97%,"29,859,912","558,678,954","-275,782",-0.92%,NLOK
BlackRock Fund Advisors,4.92%,"29,560,138","553,070,182","+814,564",+2.83%,NLOK
Starboard Value LP,4.44%,"26,668,091","498,959,983","-16,658,519",-38.45%,NLOK
"SSgA Funds Management, Inc.",4.32%,"25,950,645","485,536,568","+291,831",+1.14%,NLOK
"Nomura Securities Co., Ltd. (Priv...",3.58%,"21,495,001","402,171,469","+21,495,001",--,NLOK
Goldman Sachs & Co. LLC (Private ...,3.37%,"20,201,269","377,965,743","+15,925,533",+372.46%,NLOK
"T. Rowe Price Associates, Inc. (I...",3.36%,"20,146,495","376,940,921","-31,146,619",-60.72%,NLOK
Fidelity Management & Research Co...,2.65%,"15,914,056","297,751,988","+3,880,478",+32.25%,NLOK
Capital Research & Management Co....,11.59%,"24,711,169","270,834,412","+92,021",+0.37%,NCLH
"The Vanguard Group, Inc.",10.95%,"23,346,483","255,877,454","+13,661",+0.06%,NCLH
"T. Rowe Price Associates, Inc. (I...",8.27%,"17,626,383","193,185,158","-189,370",-1.06%,NCLH
Janus Capital Management LLC,5.55%,"11,838,387","129,748,722","-1,259,511",-9.62%,NCLH
